villeLabel;population;latitude;longitude
Forcalqueiret;3269;43.336388888;6.080555555
Auribeau-sur-Siagne;3251;43.600833333;6.911111111
Salles-d'Aude;3250;43.238333333;3.119722222
Portiragnes;3247;43.304444444;3.335833333
Bram;3239;43.242777777;2.114722222
Ville-di-Pietrabugno;3232;42.713333333;9.431111111
Saint-Hippolyte;3227;42.784166666;2.966666666
Lignan-sur-Orb;3224;43.383888888;3.170277777
Latour-Bas-Elne;3221;42.606111111;3.0025
L'Île-Rousse;3220;42.635;8.9375
Quillan;3212;42.875277777;2.181944444
Vescovato;3212;42.494166666;9.44
Bonifacio;3200;41.388055555;9.160555555
Saint-Paul-de-Vence;3183;43.696388888;7.122222222
Palau-del-Vidre;3135;42.572777777;2.961388888
Montfrin;3129;43.875833333;4.593333333
Saint-Geniès-de-Malgoirès;3120;43.945555555;4.216666666
Lansargues;3107;43.651388888;4.073055555
Le Tignet;3105;43.629166666;6.843611111
Besse-sur-Issole;3095;43.348611111;6.176388888
Murviel-lès-Béziers;3077;43.440555555;3.144166666
Quillan;3066;42.875277777;2.181944444
Sallèles-d'Aude;3064;43.259166666;2.945833333
Thézan-lès-Béziers;3062;43.421666666;3.169722222
Signes;3059;43.291388888;5.862777777
Le Plan-de-la-Tour;3055;43.340555555;6.546388888
Saint-Quentin-la-Poterie;3046;44.045277777;4.441111111
Puisserguier;3020;43.367777777;3.040833333
La Turbie;3015;43.745555555;7.400833333
Barjols;3006;43.558055555;6.0075
Saint-Laurent-des-Arbres;2981;44.054722222;4.699722222
La Motte;2968;43.493888888;6.535277777
Saint-Thibéry;2963;43.396666666;3.416666666
Aubais;2958;43.755;4.147777777
Le Bar-sur-Loup;2947;43.701388888;6.988888888
Aniane;2943;43.685277777;3.585833333
San-Martino-di-Lota;2936;42.723055555;9.455277777
Montbazin;2928;43.515833333;3.696111111
Néoules;2925;43.311111111;6.012777777
Ponteilla;2922;42.626388888;2.814444444
Saint-Féliu-d'Avall;2918;42.681388888;2.738611111
Saint-Génis-des-Fontaines;2911;42.541666666;2.921944444
Bagnols-en-Forêt;2909;43.537777777;6.698333333
Mudaison;2894;43.646388888;4.039444444
Saint-Drézéry;2882;43.733333333;3.982222222
Tourrettes;2873;43.623333333;6.702222222
Montblanc;2854;43.396388888;3.367222222
Sussargues;2824;43.711666666;4.002222222
Rodilhan;2821;43.826666666;4.433611111
Pennautier;2795;43.245833333;2.318333333
Arles-sur-Tech;2794;42.456944444;2.633888888
Les Adrets-de-l'Estérel;2793;43.525555555;6.814166666
Saint-Nazaire;2785;42.6675;2.991944444
Alleins;2764;43.703888888;5.161666666
Seillans;2763;43.636111111;6.643333333
Maureillas-las-Illas;2762;42.490277777;2.810277777
Saint-Martin-de-Londres;2759;43.790833333;3.731666666
Zonza;2748;41.749444444;9.170555555
Maillane;2738;43.832777777;4.781944444
Vendres;2736;43.269444444;3.224166666
Baixas;2727;42.75;2.809166666
Fourques;2719;43.693055555;4.610555555
Balaruc-le-Vieux;2719;43.460277777;3.684722222
Orgon;2698;43.791388888;5.038888888
Bessèges;2695;44.291666666;4.100555555
Vinassan;2671;43.203611111;3.073888888
Colombiers;2668;43.313055555;3.140555555
Mollégès;2666;43.805833333;4.949444444
