itemLabel;population;latitude;longitude
Lamphun;12595;18.586547688;99.012078557
Q26268069;12586;19.196134;99.837829
Q47517363;12584;13.4221;101.0345
Q13025360;12572;;
Q15861673;12568;14.730519965;102.16534371
Nong Pling;12558;16.533611;99.508056
Q28727699;12553;18.339166666;100.317222222
Chainat;12541;15.187222222;100.128333333
Q15212108;12541;13.216764988;99.976745632
Q13025348;12533;7.4067;99.515
Q28779232;12504;12.603494;102.123596
Q15982805;12466;9.9923;98.6507
Q13025206;12388;8.16;99.7172
Q15980663;12337;7.789154889;99.632876504
Q15980663;12337;7.789444444;99.634722222
Q13025286;12336;14.335230173;100.872656249
Q15980695;12290;16.7775;101.2468
Q51748828;12269;13.3847;100.9856
Q13025184;12215;17.3328;99.5363
Q28727633;12160;17.469161;104.102045
Q28727633;12160;17.489722222;104.100555555
Q101634344;12143;18.1476;98.3489
Q51748828;12136;13.3847;100.9856
Q28779376;12084;7.353556;100.48979
Q15265045;11992;17.2995;101.762444444
Q13025362;11966;13.9499;99.753
Q28735875;11951;15.864722222;100.585833333
Q15383135;11934;9.31693;99.694367
Q109321415;11801;14.5414;105.2641
Q47517363;11779;13.4221;101.0345
Q13025357;11753;16.531795;104.044002
Q13025178;11739;17.129046;102.961834
Q15268937;11739;;
Q15980695;11685;16.7775;101.2468
Q37416704;11593;17.615727;103.427406
Q15264887;11593;15.808364954;102.601795021
Q15264887;11593;15.816;102.599811111
Q13025322;11569;20.40338;99.88561
Q28727709;11542;17.9835;100.0519
Q108764572;11491;16.2685;104.406
Q21408195;11481;15.2762;104.8002
Q37416704;11456;17.615727;103.427406
Q13025269;11444;15.300790474;103.30134294
Q7967605;11420;14.694063355;101.541706008
Q44970001;11420;17.247208;104.240019
Q1390973;11324;13.04704;100.92891
Q16267152;11318;13.8023;100.3208
Q44970001;11281;17.247208;104.240019
Q13025231;11276;16.046808129;102.167239064
Q15978637;11271;8.6139;99.3259
Q13025330;11253;15.076088061;102.119504207
Q6485624;11250;9.951895;99.081342
Q15978535;11248;9.267389;99.192177
Q13025259;11228;12.8425;101.1153
Q28732540;11217;15.655555555;103.583611111
