item,itemLabel,latitude,longitude,date
http://www.wikidata.org/entity/Q243979,bataille d'Aboukir,31.333333333,30.116666666,
http://www.wikidata.org/entity/Q243709,seconde bataille de Syrte,34.0,17.5,
http://www.wikidata.org/entity/Q250652,bataille de Sarıkamış,40.3381,42.573,1914-12-22T00:00:00Z
http://www.wikidata.org/entity/Q251597,bataille de Dornach,47.48333333,7.61666667,
http://www.wikidata.org/entity/Q399224,bataille de Camerone,19.023125,-96.613611111,
http://www.wikidata.org/entity/Q402237,bataille de Zappolino,44.5,11.083333,
http://www.wikidata.org/entity/Q402312,bataille de Dettingen,50.048888888,9.018333333,
http://www.wikidata.org/entity/Q398174,siège de Nicée,40.429,29.7195,0727-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262648,bataille d'Höchstädt,48.6,10.55,
http://www.wikidata.org/entity/Q263245,bombardement de Yarmouth et de Lowestoft,52.6,1.7,
http://www.wikidata.org/entity/Q263142,bataille de la mer de Java,-5.0,111.0,
http://www.wikidata.org/entity/Q259526,bataille de Long Tan,10.553888888,107.258888888,
http://www.wikidata.org/entity/Q261345,bataille de Lérida,41.61666667,0.63333333,
http://www.wikidata.org/entity/Q135468,bataille de Haw's Shop,37.676,-77.3118,
http://www.wikidata.org/entity/Q139808,bataille des champs Catalauniques,49.0,4.5,
http://www.wikidata.org/entity/Q136344,bataille de Köse Dağ,40.25,39.55,
http://www.wikidata.org/entity/Q137567,bataille d'Ausculum,41.995,13.547222,
http://www.wikidata.org/entity/Q138025,siège de Veprik,50.106666666,29.805833333,1708-12-24T00:00:00Z
http://www.wikidata.org/entity/Q247395,bataille d'Hamburger Hill,16.253055555,107.174722222,1969-05-10T00:00:00Z
http://www.wikidata.org/entity/Q248979,bataille de Modder River,-29.03916667,24.62638889,
http://www.wikidata.org/entity/Q247871,bataille de Talana Hill,-28.163888888,30.267777777,
http://www.wikidata.org/entity/Q250309,bataille de Tarawa,1.426944444,172.975555555,1943-11-20T00:00:00Z
http://www.wikidata.org/entity/Q248712,bataille de Komarow,50.45,23.416666666,1914-08-26T00:00:00Z
http://www.wikidata.org/entity/Q470571,opération Wikinger,54.716666666,2.766666666,
http://www.wikidata.org/entity/Q471955,bataille de Changsha,28.2,112.967,1944-05-27T00:00:00Z
http://www.wikidata.org/entity/Q467777,bataille de Wagram,48.295555555,16.557777777,1809-07-05T00:00:00Z
http://www.wikidata.org/entity/Q469416,Charge de Krojanty,53.725555555,17.631944444,
http://www.wikidata.org/entity/Q239255,bataille d'Arras,50.289722222,2.780833333,1917-04-09T00:00:00Z
http://www.wikidata.org/entity/Q238440,bataille de Navarin,36.935833333,21.687777777,
http://www.wikidata.org/entity/Q327035,bataille de Gazala,31.95,23.45,1942-05-26T00:00:00Z
http://www.wikidata.org/entity/Q327052,bataille d'Aix-la-Chapelle,50.776388888,6.083333333,1944-10-02T00:00:00Z
http://www.wikidata.org/entity/Q326989,bataille de Morgarten,47.09,8.633,
http://www.wikidata.org/entity/Q364322,bataille de Lundy's Lane,43.089152,-79.095456,
http://www.wikidata.org/entity/Q348998,bataille d’Isly,34.69,-1.93,
http://www.wikidata.org/entity/Q349318,siège de Berat,40.704939,19.949673,1280-01-01T00:00:00Z
http://www.wikidata.org/entity/Q354560,siège de Ravenne,44.417777777,12.199444444,0490-01-01T00:00:00Z
http://www.wikidata.org/entity/Q349968,seconde bataille de Zaouïa,32.7522,12.7278,
http://www.wikidata.org/entity/Q349422,bataille d'Okehazama,35.059972222,136.980777777,
http://www.wikidata.org/entity/Q335174,bataille de Vila Velha,39.65,-7.67,
http://www.wikidata.org/entity/Q335288,bataille du Monte Cassino,41.49,13.813888888,1944-01-17T00:00:00Z
http://www.wikidata.org/entity/Q334029,bataille de Bunker Hill,42.376361111,-71.060777777,
http://www.wikidata.org/entity/Q464512,bataille de Balaklava,44.57175833,33.57309444,
http://www.wikidata.org/entity/Q462099,bataille de Calven,46.667772,10.510483,
http://www.wikidata.org/entity/Q466391,bataille de Hühnerwasser,50.586029,14.8041556,
http://www.wikidata.org/entity/Q473983,bataille de la forêt de Tuchola,53.6,18.0,1939-09-01T00:00:00Z
http://www.wikidata.org/entity/Q474399,bataille d'Affane,52.124722,-7.837778,
http://www.wikidata.org/entity/Q477778,bataille de Frastanz,47.22,9.62,
http://www.wikidata.org/entity/Q477095,bataille de Suomussalmi,64.888333333,28.888888888,1939-12-07T00:00:00Z
http://www.wikidata.org/entity/Q477592,bataille de Drakenburg,52.6932,9.23135,
http://www.wikidata.org/entity/Q475544,bataille de Moesskirch,47.993,9.1127,
http://www.wikidata.org/entity/Q178850,bataille de Salamine,37.95138889,23.56666667,
http://www.wikidata.org/entity/Q178912,première bataille du cap Saint-Vincent,36.818055555,-8.563611111,
http://www.wikidata.org/entity/Q178842,bataille de Waterberg,-20.47666667,17.30805556,
http://www.wikidata.org/entity/Q190712,première bataille de la Marne,49.016666666,3.383333333,1914-09-08T00:00:00Z
http://www.wikidata.org/entity/Q151005,bataille de Leipzig,51.312222222,12.413333333,1813-10-16T00:00:00Z
http://www.wikidata.org/entity/Q192660,bataille d'Okinawa,26.5,128.0,1945-04-01T00:00:00Z
http://www.wikidata.org/entity/Q153316,bataille de Crète,35.5,24.061111111,1941-05-20T00:00:00Z
http://www.wikidata.org/entity/Q152486,bataille de Poltava,49.631388888,34.552777777,
http://www.wikidata.org/entity/Q192473,bataille d'Andrinople,41.8,26.6,
http://www.wikidata.org/entity/Q275019,bataille de Smolensk,54.7833,32.05,1943-08-07T00:00:00Z
http://www.wikidata.org/entity/Q276656,bataille des Pescadores,23.39,119.53,
http://www.wikidata.org/entity/Q179591,bataille de Cannes,41.306388888,16.1325,
http://www.wikidata.org/entity/Q276059,bataille de Vitoria,42.85,-2.683333333,
http://www.wikidata.org/entity/Q179670,bataille de Gaugamèles,36.36,43.25,
http://www.wikidata.org/entity/Q275736,bataille de San Francisco,-19.66666667,-69.95,
http://www.wikidata.org/entity/Q132568,bataille de la Somme,50.015555555,2.6975,1916-07-01T00:00:00Z
http://www.wikidata.org/entity/Q481354,bataille d'Oldendorf,52.1667,9.25,
http://www.wikidata.org/entity/Q479979,bataille d'Abensberg,48.8,11.85,
http://www.wikidata.org/entity/Q482402,incidents du golfe du Tonkin,19.7,106.767,1964-08-02T00:00:00Z
http://www.wikidata.org/entity/Q481552,bataille de Giglio,43.548,10.219,
http://www.wikidata.org/entity/Q478597,bataille d'El Obeid,13.183333333,30.216666666,1883-11-03T00:00:00Z
http://www.wikidata.org/entity/Q481466,combat d'Amberg,49.4712,11.8291,
http://www.wikidata.org/entity/Q459447,bataille de Yorktown,37.230833333,-76.5025,1781-09-28T00:00:00Z
http://www.wikidata.org/entity/Q460143,massacre de Lawrence,38.96427,-95.2359,
http://www.wikidata.org/entity/Q461599,bataille de Leuctres,38.264666666,23.174277777,
http://www.wikidata.org/entity/Q153702,bataille de Beroia,42.43333333,25.65,
http://www.wikidata.org/entity/Q153376,seconde bataille d'El Alamein,30.841388888,28.942777777,1942-10-23T00:00:00Z
http://www.wikidata.org/entity/Q278903,bataille de Lechaion,37.934142,22.884225,
http://www.wikidata.org/entity/Q277337,bataille du réservoir de Chosin,40.483,127.2,1950-11-27T00:00:00Z
http://www.wikidata.org/entity/Q277345,bataille de Mylae,38.2167,15.2333,
http://www.wikidata.org/entity/Q276852,bataille de Slivice,49.6433,14.0472,1945-05-11T00:00:00Z
http://www.wikidata.org/entity/Q338792,bataille de Gênes,44.4067,8.93333,
http://www.wikidata.org/entity/Q339052,bataille de Gross Beeren,52.35,13.3,
http://www.wikidata.org/entity/Q339321,bataille du pont Milvius,41.935555555,12.466944444,
http://www.wikidata.org/entity/Q338370,bataille de Grengam,60.0,20.3,
http://www.wikidata.org/entity/Q367966,bataille de Landshut,48.53944,12.15083,
http://www.wikidata.org/entity/Q368457,prise de la Martinique,14.66666667,-61.0,
http://www.wikidata.org/entity/Q369560,bataille de Bagdad,33.3475,44.335,1258-02-05T00:00:00Z
http://www.wikidata.org/entity/Q365640,bataille de Beaver Dams,43.117583333,-79.185388888,
http://www.wikidata.org/entity/Q367025,bataille de Lena,58.23333333,13.83333333,
http://www.wikidata.org/entity/Q368596,Bataille d'Agagia,31.5439,25.9425,
http://www.wikidata.org/entity/Q369859,bataille de Belmont,-29.41666667,24.36666667,
http://www.wikidata.org/entity/Q369893,bataille d'Angamos,-23.0,-71.0,
http://www.wikidata.org/entity/Q370307,bataille de Kandahar,31.61666667,65.71666667,
http://www.wikidata.org/entity/Q370671,bataille de Franklin,35.9174,-86.8733,
http://www.wikidata.org/entity/Q370376,bataille de Castricum,52.55,4.666666666,
http://www.wikidata.org/entity/Q369893,bataille d'Angamos,-23.032919,-70.591967,
http://www.wikidata.org/entity/Q427565,bataille de Ladé,37.530233,27.278369,
http://www.wikidata.org/entity/Q427891,bataille de Fort Ligonier,40.24083333,-79.23777778,
http://www.wikidata.org/entity/Q426926,bataille de Varsovie,52.2323,21.0084,1656-07-28T00:00:00Z
http://www.wikidata.org/entity/Q427853,première bataille de Capoue,41.0833333,14.25,
http://www.wikidata.org/entity/Q482456,chute de Saïgon,10.778055555,106.696111111,
http://www.wikidata.org/entity/Q482970,Bataille de Sacheon,35.0038,128.0642,
http://www.wikidata.org/entity/Q482979,bataille du périmètre de Busan,35.1,129.040277777,1950-08-04T00:00:00Z
http://www.wikidata.org/entity/Q379346,bataille de Tippecanoe,40.506944444,-86.843888888,
http://www.wikidata.org/entity/Q382967,siège de Damas,33.512222222,36.298333333,1148-07-31T00:00:00Z
http://www.wikidata.org/entity/Q379433,opération Ten-Gō,30.36666667,128.06666667,
http://www.wikidata.org/entity/Q380067,bataille de Trzciana,53.8005,19.0631,
http://www.wikidata.org/entity/Q281013,bataille de Monmouth,51.813,-2.725,
http://www.wikidata.org/entity/Q280439,bataille d'Obertyn,48.6894,25.17,
http://www.wikidata.org/entity/Q281089,déroute de Ludford Bridge,52.36375,-2.718888888,
http://www.wikidata.org/entity/Q280468,bataille d'Ap Bac,10.438333333,106.195277777,
http://www.wikidata.org/entity/Q281145,siège de la base Anaconda,32.13333333,66.0,2007-08-08T00:00:00Z
http://www.wikidata.org/entity/Q281461,bataille de Grauholz,47.01666667,7.5,
http://www.wikidata.org/entity/Q194329,bataille de Five Forks,37.139444444,-77.622777777,
http://www.wikidata.org/entity/Q194226,bataille du Yarmouk,32.814166666,35.954722222,0636-08-18T00:00:00Z
http://www.wikidata.org/entity/Q194951,bataille d'Haram,45.25,19.4,
http://www.wikidata.org/entity/Q264737,bataille de Tolbiac,50.675277777,6.601111111,
http://www.wikidata.org/entity/Q266689,bataille de Dego,44.45,8.31667,
http://www.wikidata.org/entity/Q265106,bataille d'Estrelleta,18.88333333,-71.7,
http://www.wikidata.org/entity/Q267418,embuscade d'Uzbin,34.659166666,69.848888888,
http://www.wikidata.org/entity/Q263950,bataille d'Elandslaagte,-28.4,29.95,
http://www.wikidata.org/entity/Q267339,bataille de Grand Port,-20.39027778,57.73388889,1810-08-20T00:00:00Z
http://www.wikidata.org/entity/Q244356,bataille d'Aïn Djalout,32.55,35.357,
http://www.wikidata.org/entity/Q244980,siège de Belgrade,44.816666666,20.466666666,1456-07-13T00:00:00Z
